,title,casts,description
238,义海倾情,"凯文·科斯特纳,丹尼斯·奎德,吉恩·哈克曼,马克·哈蒙,吉姆·卡维泽",简介：故事开始于怀俄明州的乡间，我们的主人公怀厄尔普（凯文·科斯特纳 Kevin Costner 饰）就出生在那里。为了参加南北战争报效祖国，怀厄尔普离家出走英勇的赶...详情
239,中华战士,"杨紫琼,尔冬升,吴耀汉",简介：影片以悲壮的笔触，描述了30年代时期，不丹国卡尔城金将军与日军勾结，在城里生产毒气，中国派遣特务“天字第一号”和现代镖局负责接出城主尤达。女镖师阿琼在爱慕尤达的...详情
240,圣堂,"MarkDacascos,JaimzWoolvett,KylieTravis",简介：...详情
241,城市别动队,"史蒂芬·鲍德温,蒂亚·卡雷尔,查兹·帕尔明特瑞",简介：警员约翰崔斯（史蒂芬·鲍德温 饰）正因三度在执勤时开枪而遭到上层调查，一天当他巡逻管区时，撞见一名毒贩在街头交易在追逐的过程中，毒贩将手伸入口袋，约翰以为他要掏...详情
242,布利特,"史蒂夫·麦奎因,罗伯特·沃恩,杰奎琳·比塞特,唐·戈登,西蒙·奥克兰,诺曼·费尔,罗伯特·杜瓦尔,乔格·斯坦福·布朗,Justin,Tarr,Carl,Reindel,Felice,Orlandi,维克·泰拜克,Robert,Lipton,Ed,Peck,Pat,Renella",简介：本片是著名商业片导演彼得叶茨执导的好莱坞新派警匪片的先锋之作。本片描述一名忠心的旧金山警探奉命保护一名将出庭作证的黑手党分子。证人所提供的证据大大有助于摧毁黑手...详情
243,超级魔鬼干部,"迈克尔·基顿,咪咪·罗杰斯,约翰·特托罗,渡边戈登,乔治·温迪特,山村",简介：美国一个小镇宾州，大部分镇民是在一家汽车零件装配工厂上班，整个镇的繁荣富裕维系于此。然而经济不景气，使得该工厂就要关门大吉。史帝文生是这家工厂的员工，为了自己、...详情
244,少林门,"谭道良,田俊,成龙,朱青",简介：少林寺数百年来弘扬大业，发展武功，曾为太平盛世立下不朽功勋。清廷为打压异己，控制人民，借助少林叛徒石少锋（田俊 饰）等人围攻少林，致使少林弟子流落各地。少林大智...详情
245,生死狂澜,乔恩·沃伊特布特·雷诺茨尼德·巴蒂罗尼·考克斯,简介：因发电厂筑坝施工，卡胡瓦西河将要变为湖区而消失，路易斯（伯特·雷诺兹BurtReynolds饰）、艾德（强·沃特JonVoight饰）、波比（尼德·巴蒂NedB...详情
246,邮船大浩劫,内详,简介：邮轮举行下水礼，冠盖云集。但当邮轮航行至公海，一班残暴凶徒突现，胁持邮轮及所有乘客，只有一保镳逃脱，孤军作战。轮战期间，意外地引致爆炸·！邮轮面临沉没危机。...详情
247,暴走威龙,"迈克尔·杜迪考夫,Ardon·Bess,Michelle·Johnson",简介：米高在一间饼店内工作，与东主女儿璐慧莎感情要好，并已达到谈婚论嫁的阶段。东主沙路本想将股权一半交给米高，但却改变初衷，把一半股权交给其儿子祖儿。米高一怒之下投靠...详情
248,铁马骝II之街头杀手,"甄子丹,原文庆,午马,周比利,刘畊宏",简介：故事发生在清朝末年，戏院中，一出精彩的《十八罗汉斗悟空》正在上演，台下坐着的，是崇洋媚外的汉奸玉面虎和俄国大使。忽然之间，台上正在表演的演员们冲下了台，想要刺杀...详情
249,夺宝奇兵3,"哈里森·福特,肖恩·康纳利,丹霍姆·艾略特,瑞凡·菲尼克斯",简介：传说用耶稣在最后的晚餐中用到的圣杯喝水，便能长生不老。在一次掘金活动中，记载圣杯的碑石被发现，圣杯存在的可能吸引着大批的疯狂的人展开寻找。印第安纳琼斯博士（Ha...详情
250,海豹干将,"迈克尔·比恩,查理·辛",简介：中东情势吃紧，美国国防使出秘密武器，派遣一支无坚不摧的海陆空三枝特遣队前往支援，在执行任务过程中，特遣队发现一种致命的导弹落在一群恐怖分子手中，为了阻止恐怖分子...详情
251,不结婚的男人,"伯特·雷诺兹,吉尔·克雷伯格,坎迪斯·伯根,查尔斯·德恩,弗朗西斯·斯","简介：A divorced man falls in love, but somehow he cant get over his ex-wife. This aff...详情"
252,英雄本色3：夕阳之歌,"周润发,梅艳芳,梁家辉,张可颐",简介：Mark哥（周润发 饰）和志民（梁家辉 饰）是堂兄弟，两人是越南华侨，现正在香港发展。岂料越战打响，两人都十分担心仍然居住在越南西贡的志民的父亲松叔的安危，为了...详情
253,007之俄罗斯之恋,"肖恩·康纳利,丹妮拉·碧安琪,比德洛·阿门德里兹,罗蒂·兰雅,罗伯特·肖,伯纳德·李",简介：雷迪（罗伯特•肖 Robert Shaw 饰）是魔鬼党的头号杀手，一直从未失手。由于007（肖恩•康纳利 Sean Connery 饰）屡次破坏魔鬼党的好事，魔...详情
254,乌鸦谋杀案,"小库珀·古丁,汤姆·贝伦杰,马克·佩雷格里诺",简介：劳森（小库珀·古丁 Cuba Gooding Jr. 饰）是一名经验丰富口碑良好的律师，某日，市长请他帮自己犯下了杀人罪过的儿子进行辩护，劳森内心里尚存的良心驱...详情
255,黄飞鸿之四：王者之风,"赵文卓,王静莹,莫少聪,熊欣欣,周比利,钱嘉乐,刘洵,王志文,鲁亦诗",简介：黄飞鸿（赵文卓 饰）夺得狮王争霸金牌后飘然而去，一时间广东会馆高朋云集纷纷做贺，八旗将军府副都统阿兰成都（陈继铭 饰）大人登门拜访，原来八国联军欲使用各自的巨型...详情
256,末世纪暴潮,拉尔夫·费因斯安吉拉·贝塞特朱丽叶特·刘易斯,简介：1999年12月30日的洛杉矶陷入一片混乱，虽然警察三步一岗五步一哨，但各种恶性案件还是接连发生。伦尼是当地一名卸任警探，对这个人吃人的大都市有着透彻的了解。为...详情
257,汉堡高地,"Michael,Boatman,唐·钱德尔,迪伦·麦克德莫特,Tim,",简介：这是一部典型美国英雄主义的影片。越战期间，许多像文森（安东尼•巴里奥 Anthony Barrile 饰）一样的怀有参战理想或各种不得不参战原因的年轻人来到了空...详情
258,小醉拳,"李若彤,季天笙,陈卓,熊欣欣,黄一山,沈威,刘锡明",简介：故事发生在清朝年间，皇帝病重，需要用小活佛体内的舍利子方能医治。得知此事的五王爷找到了少林寺方丈，命他交出小活佛，方丈不从，五王爷出兵血洗了少林寺。受方丈所托，...详情
259,龙在天涯,"李连杰,狄威,利智,周星驰,方平",简介：中国武术队赴三藩市表演，武术冠军李国南（李连杰 饰）博得满堂喝彩，台下观众席上的阿友（周星驰 饰）大为敬佩。武术团成员王威（狄威 饰）自感年纪渐大，前途黯淡心中...详情
260,燃情追踪,"伊万·麦克格雷格,艾什莉·贾德,帕特里克·博金",简介：默默无名的英国特工Eye（Ewan McGregor 饰）在美国花费了十多年的时间遮蔽一位女士Joanna——她被怀疑是多名凶杀案的凶手，被杀害的总是男士。Ey...详情
261,和平饭店,"周润发,叶童,秦豪,刘洵,吴倩莲,刘晓彤,李兆基,鲁芬",简介：江湖杀手阿平（周润发 饰）是和平饭店的老板，传闻他武功了得，曾经一口气杀了二百多个马贼，并且他宣称和平饭店是一个“避难所”，只要进来住宿的人，无论他得罪了什么帮...详情
262,原振侠与卫斯理,"钱小豪,周润发,张曼玉,狄威,崔秀丽,徐锦江,胡慧中,倪匡,楚原,仓田保昭,惠英红,尔冬升,利智,高丽虹",简介：原振侠（钱小豪 饰）受警方所托，紧急介入一起人质绑架案件，女记者彩虹（张曼玉 饰）为得到第一手资料不惜打乱警方布置，幸而原振侠力挽狂澜，拯救行动圆满达成，但彩虹...详情
263,火舞风云,"张同祖,陈百祥,曹查理,秦沛,冯淬帆,楼南光,成奎安,王晶,午马,张敏,焦姣,钟楚红,玛莉亚,",简介：影片故事比较直白，但却有感人的片段，令人回味。主要描述父亲入狱、母亲重病的姐妹二人为生计被迫做了舞女。阿敏（张敏饰）与小妹（侯炳莹饰）自幼随母亲（冯淬凡饰）与继...详情
264,冒险王,"李连杰,关之琳,金城武,杨采妮,罗家英",简介：电视剧编剧周世杰（李连杰）被妻子莫尼卡（关之琳）闹离婚，郁闷之下开始编写剧集《冒险王》的剧本，想象中他成了民国时代的冒险王卫亦信，莫妮卡变作日本特务美加子，藉此...详情
265,77年航空港,"杰克·莱蒙,李·格兰特,布伦达·瓦卡罗,约瑟夫·科顿,奥利维娅·德哈维兰,乔治·肯尼迪,克里斯托弗·李,克里斯·莱蒙",简介：运有宝贵油画古董的飞机在副驾驶员和其同党的策划下，企图控制飞机，正当他们用气体把乘客熏倒，企图把飞机开往荒岛时，飞机却因撞击而坠入海中，机长克服重重困难，冒着生...详情
266,时空特警,"尚格·云顿,米娅·萨拉,罗恩·西维尔,布鲁斯·麦克吉尔,格洛利亚·鲁本,斯科特·贝利斯,杰森斯乔姆宾,斯科特·劳伦斯,肯尼斯·威尔什,Brent,Woolsey,Brad,Loree,Shane,Kelly,Richard,Faraci,Steven,Lambert,凯文·麦克纳尔蒂,J.J.马卡罗,Yves,Cameron,David,Jacox,Mike,Mitchell,雅各布·鲁普,肖恩·奥伯恩,加布里埃尔·罗斯,马尔科姆·斯图尔特,Alfonso,Quijada,Nick,Hyams,薇娜·苏德",简介：科学家们终于终于发明出了时空穿梭机，为了防止有人利用它回到过去改变历史，一支被称为时空特警的队伍成立了，马克斯（尚格·云顿 Jean-Claude Van Da...详情
267,白发魔女2,"林青霞,陈锦鸿,钟丽缇,万绮雯,张国荣",简介：自从邪教魔女练霓裳（林青霞饰）与武当首徒卓一航（张国荣饰）分道扬镳之后，从此销声匿迹。但数年之后魔女却已走火入魔，建立魔宫，并练得天下无敌奇功，四处杀戮正派人士...详情
268,雌雄大盗,"沃伦·比蒂,费·唐纳薇,迈克尔·波拉德,吉恩·哈克曼,埃斯特尔·帕森斯",简介：本片根据美国历史上著名雌雄大盗邦妮•派克和克莱德•巴罗的真实经历拍摄。　　1930年大萧条中，邦妮•派克（費•唐娜薇 Faye Dunaway 饰）在得克萨斯州...详情
269,皇家师姐,"杨紫琼,王敏德,真田广之","简介：日本警探山本（真田广之）来香港途中,遇上押解犯人李仲青回港的香港女警Michelle(杨紫琼).李的同伙欲救李,结果,两人都被山本杀死,而匪徒一共有四人，剩下的...详情"
270,菜鸟霹雳胆,"克林特·伊斯特伍德,查理·辛,劳尔·胡里亚,索尼娅·布拉加",简介：Nick Pulovski（Clint Eastwood饰）是一名警察，他在汽车团伙盗窃科工作，但到目前为止，他还从来没有真正破获过一起汽车团伙盗窃案。他可谓是...详情
271,疯狂的麦克斯3,"梅尔·吉布森,蒂娜·特纳,亚当·科克伯恩,布鲁斯·斯宾斯,弗兰克·思林,Angelo,Rossitto,Angry,Anderson,罗伯特·格拉布,George,Spartels,埃德温霍德曼",简介：麦斯抵达巴顿镇，凭着一身好本领，被女皇聘为雇佣兵，消灭操纵地下世界的智武者。麦斯却被女皇的左右手巴斯逐出沙漠。一群居住在世外桃源的野孩子奉麦斯为神，带领他们走出...详情
272,特警屠龙,"甄子丹,张学友,温碧霞,郑裕玲,任达华,吴孟达,Stephan,Berwick,迈克尔·伍兹,梁家仁",简介：老王（任达华 饰）、雪玲（郑裕玲 饰）、龙哥（梁家仁 饰）和达叔（吴孟达 饰）等人均是缉毒警察，他们并肩作战，同甘共苦，彼此之间结下了深厚的情谊。某日，他们端掉...详情
273,黄飞鸿'92之龙行天下,"李连杰,元华,郭锦恩,杰瑞·特林伯",简介：武师陈厚德（元华 饰）远赴美国开设宝芝林，时常召唤国内的徒弟阿杰（李连杰 饰）来美国帮衬，但阿杰担忧在美的居留问题，迟迟未到。陈厚德曾经收下一名美国弟子尊尼（杰...详情
274,闪电舞,詹妮弗·比尔斯,简介：18岁的亚莉克欧文斯对舞蹈有一份狂爱，由于现实生活的压力，白天在一家铁工厂担任焊工，晚上在当地一家酒吧演出，全片刻画亚莉克追求理想、独立与爱情的奋斗过程。 主题...详情
275,魔鬼命令之患难兄弟,"马特·巴特格里亚,安德鲁·杰克逊,EricBryson",简介：卢克和维罗妮卡被追杀源于他们知道宇宙战士的相关研发事宜，同时卢克本身自己也是一个宇宙战士。中情局和沃克博士一直致力于研究宇宙战士，他们向外界隐藏一切。宇宙战士是...详情
276,决斗的人,"基思·卡拉丹,哈威·凯特尔,阿尔伯特·芬尼","简介：[天国王朝][角斗士][黑鹰坠落]视觉大导---雷德利·斯科特处女作，获得戛纳电影节最佳处女作奖。　　取材至19世纪知名波兰作家康拉德的作品,是一部以大时代为背...详情"
277,飞越巅峰,"西尔维斯特·史泰龙,David,Mendenhall",简介： 10年前，卡车司机林科隆·豪克抛弃妻儿，选择四处流浪的生活。随着岁月的流逝和阅历的积累，他渐渐体味到家庭的重要，其对妻儿的思念也越来越强烈。某个夏天...详情
278,O记三合会档案,"刘青云,吴镇宇,朱茵,彭丹,谢天华,李兆基,吴志雄,林尚义",简介：20世纪50年代末60年代初的香港，警匪勾结，乌烟瘴气。其中，九龙城寨更是一个龙蛇盘踞，令人闻风丧胆的混乱所在。 无所事事的小青年阿豪（刘青云 饰）和阿乐（吴镇...详情
279,怒虎狂龙,"西尔维斯特·史泰龙,库尔特·拉塞尔",简介： 退役军官丹尼尔回到家乡纽约，本想享受宁静的生活，却无意中卷入黑帮地盘纷争。黑帮老大托恩为铲除丹尼尔残酷杀害了他的师傅，并炸毁其女友的公寓，丹尼尔被彻...详情
280,义胆双雄,"GeorgeC.Scott,WilliamPetersen,JulieCarmen,AlexeiSayle",简介：在加勒比海一个岛上，一个欢天喜地的嘉年华会正在展开，怎料两名久违了的友人却岛上相遇，他们分别是前任船长韦高连与前中情局特务吉上勋。过往的经历使两人陷于生死存亡之...详情
281,轰天俏娇娃,"梅尔·吉布森,歌蒂·韩,大卫·卡拉丁,BillDuke",简介：Mel Gibson 在片中饰演一名曾在法庭指证毒贩的线民，为恐毒贩仇，在FBI为他重新安排新身份后，度过了十五年的隐居生活。但现在毒枭出狱，并展开了一系列追杀...详情
282,精武门,"李小龙,苗可秀,田俊,田丰",简介：一代武术宗师、精武门创始人霍元甲突然逝世，霍师傅生前最喜爱的五徒弟陈真（李小龙 饰）匆匆赶回奔丧，在师傅的棺椁前，陈真悲痛欲绝，暂时终止了和小师妹（苗可秀 饰）...详情
283,纵横四海,"周润发,张国荣,钟楚红,朱江",简介：亚占（张国荣）、亚Joe（周润发）和红豆（钟楚红）是三名盗画高手，专为他们的养父（曾江）偷盗知名艺术品令其赚钱。法国巴黎博物馆内，名画《赫林之女仆》被人盗走，与...详情
284,孤寒财主,"比尔·默瑞,Frank,凯伦·阿兰,罗伯特·米彻姆",简介：根据英国文豪狄更斯着名的小说《圣诞颂歌》改编，加上了现代的电视台背景和热闹非凡的特技镜头，变成一部具有警世效果的贺节喜剧。比尔．默里在片中饰演个性凉薄的电视台大...详情
285,致命武器,"梅尔·吉布森,丹尼·格洛弗,加里·布塞,米奇·瑞恩",简介：圣诞节前夕，一名衣着暴露的独身女子在酒店高层房间中神情恍惚，她来到阳台上，翻身坠落……刚过50岁生日的黑人警员罗杰（Danny Glover 饰）负责此案，他发...详情
286,肝胆相照,"黎大炜,刘德华,张国强,杨群,",简介：豹叔收养了朋友的儿子阿定，与自己儿子阿国情同手足。长大后阿国成为学业有成的警官，阿定成为杨东海的得力助手。杨东海实为黑社会头子，贩卖军火，走私鸦片，在他知道阿定...详情
287,全能战将,"马克·达卡斯考斯,大卫·布拉德利,Valarie,Trapp,John,Fujioka,司徒永华",简介：...详情
288,魔鬼岛战将,"浩克·霍根,卡尔·韦瑟斯,香农·特威德",简介：海豹突击队一行六人执行抓捕大毒枭卡林多的任务，一切进行得十分顺利。但队员们不知道，弗雷克是内奸。他早已通知卡林多此次行动，海豹突击队遭到伏击，造成两名成员牺牲。...详情
289,小心间谍,"利智,泰迪·罗宾,胡慧中,葛民辉",简介：抗日战争时期，日方搜刮中国大批文物，而这批文物的藏宝图胶片被台湾间谍“宝岛七十二号”（叶子楣 饰）得到，日本间谍猪木（葛民辉 饰）与马场（林海峰 饰）赶赴香港，...详情
290,狂凶记,"乔·芬奇,巴里·福斯特,芭芭拉·雷吉-亨特,安",简介：理查德是一名飞行员，退伍后，他在一家酒吧打工，认识了同事芭芭拉（安娜·玛西 Anna Massey 饰）并与之相爱。性格粗暴的理查德同老板发生口角后被开除，身无...详情
291,红墙盗影,"元彪,钟淑慧,吴毅将,钱小豪,王龙威",简介：　　韩福奎是中国境内四处下手的名盗墓专家，与北韩恐怖份子密也有切来往，韩国政府委派一男一女特警，追查北韩恐怖份子的活动情况。某天，曹大富从特别渠道得知，在中俄边...详情
292,危机风暴,"托马斯·伊安·格里菲斯,蒂亚·卡雷尔,约翰·利","简介：联邦密探戴安尼准备不惜一切,甚至她自己的婚礼典礼,都要打下巨大的黑金渠道.在她调查的过程中,她遇到了巨大的障碍,以及遇到了跟她一样很想拿下黑金渠道的毒犯.在两股...详情"
293,盗火线,"阿尔·帕西诺,罗伯特·德尼罗,方·基默,强·沃特",简介：文森特•汉纳（阿尔•帕西诺 饰）是洛杉矶警局重案组的探长，工作积极投入，打击犯罪毫不手软，因此，家庭生活危机重重，目前的第三次婚姻也面临解体；尼尔•麦考利（罗伯...详情
294,红番区,"成龙,梅艳芳,叶芳华,董骠",简介：货车司机黄家驹（成龙）赴美向移居美国的骠叔祝贺新婚之喜，知晓其打算婚后与黑人妻子过安静的晚年生活，经营多年的超级市场也已卖给了年轻寡妇Elaine（梅艳芳）经营...详情
295,人民公敌,"薛景求,李成宰,安爽焕",简介：在一个滂沱大雨的夜晚，辣手干探Chul-jung在监视行动中突然人有三急，却找不到「解决」的地方。当他躲在灯柱完成「解决」后，一个穿著雨衣的神秘男人与他擦身而过...详情
296,疯狂的麦克斯,"梅尔·吉布森,休·基斯-拜恩,雷格·埃文斯,史提夫·比斯利,Bertrand,Cadart,Sheila,Florance,乔纳森·哈迪,尼克·拉图里,Steve,Millichamp,Gil,Tucker",简介：在不远的未来，公路骑士们在道路上肆虐，所过之处留下疯狂破坏的痕迹。为了追逐盗取了警用车的“黑暗骑士”，警方付出了重大代价，幸有比骑士更加疯狂的麦克斯（梅尔·吉布...详情
297,跛豪,"吕良伟,郑则仕,叶童,叶子楣,李子雄,吴启华,黄光亮,陈荣宗,陈治良,罗烈,吴孟达,刘洵,刘江,江欣燕",简介：1962年，内地正值经济困难时期，随难民潮逃到香港的汕头青年伍国豪（吕良伟）因不甘被黑帮欺凌，投靠黑帮大佬肥波（郑则士），几场拼命的血战后，他被肥波重用，在黑帮...详情
298,冒牌君主,"理查德·德莱福斯,劳尔·胡里亚,索尼娅·布拉加",简介：杰克是个总是只差临门一脚便可能成为超级巨星的纽约演员，但他却一直碰不到好的演出机会，但当他到加勒比海某个小岛国出外景的时候，竟然被当地的警察局长给绑架了！最出乎...详情
299,魔鬼佣兵,"OlivierGruner,JohnRitter,RobertCulp",简介：商业钜子乔纳斯原本与妻子过著富有、安逸的生活，孰料被卷进一场恐怖份子的杀戮行动中。痛失爱妻、身心受创的乔纳斯生活从此脱轨，并深陷于悲伤中，且日渐把内心的悲痛转化...详情
300,危在旦夕,"BrianBosworth布莱恩·伯斯华,MichaelDorn迈克尔·多恩",简介：一架来自欧洲的班机，为了政治任务要飞越美国领空。在机上，总统候选人史都特带了一片可以结束战争的磁片，同行的还有空军队长杰克。磁片中有美国副总统杰若从事不法军火交...详情
301,新大小不良,"郑则士,张卫健,翁虹,蒋勤勤",简介：四十年代，青年丘子洪欲乾一番事业，故往上海发展，到上海认识到君、川两人，后往同乡勇兄妹处，以作打算。斧头帮之金九笔为歌星莉与杜老大冲突，金河帮姜老大亦介入，最后...详情
302,龙虎盟,"约翰·韦恩,罗伯特·米彻姆RobertMitchum,詹姆斯·肯恩",简介：由美国派拉蒙影片公司出品，导演霍华德．霍克斯。科尔作为一个枪手被牧场主贾森派去埃尔多拉多赶走麦克唐纳一家，科尔在执行任务时及时放弃了逼走唐纳一家的念头，而且还帮...详情
303,小淘气,"Travis,Bug,Brittany",简介：乐翻天的美国爆笑儿童喜剧，里面的小演员和那只狗狗的都激萌激萌的不要不要的。讲述的是几个男孩都想追求女孩达娜，在他们之间发生的各种纠结趣事，就是儿童世界的为了爱情...详情
304,东京流浪汉,"渡哲也,松原智惠子,二谷英明,北龙二,江",简介：本片是一部新概念的惊险动作影片，故事通过对突发事件的精心绘制，再加上人物内心矛盾的艺术过滤，配以精心打造的金章激烈的惊险场面，让本片成为一部经典之作，可见本片导...详情
305,龙在江湖,"李国豪,王敏德,陈惠敏,谷峰,叶荣祖",简介：本片是李小龙之子李国豪回港发展的处女作。可惜剧本写得俗套，而他本人的演技也略显幼嫩，因此并未能一炮而红。数年后他转往好莱坞拍片，却又在即将走红之际意外身亡，令人...详情
306,红色警探,"阿诺·施瓦辛格,詹姆斯·贝鲁什,彼得·博伊尔,吉娜·格申",简介：八十年代，苏联国内的毒枭从美国大量进口毒品，上尉德戈（阿诺·施瓦辛格 Arnold Schwarzenegger 饰）奉命捉拿乔治亚毒贩集团，然而在围捕行动中，...详情
307,重返唐人街,"杰克·尼科尔森,哈威·凯特尔,玛德琳·斯托",简介：私家侦探杰克受一位房地产开发商杰克鲍曼的委托，调查他的妻子与饱曼的事业合伙人通奸的事实与见证不料饱曼的妻子与合伙人正在旅馆开房间时，鲍曼冲了进去，枪杀了合伙人而...详情
308,街头武士,"Jeff,Speakman,克里斯托弗·尼姆,詹妮弗·加蒂,伯尼·凯西,葛人杰·海恩斯,萨尔·兰迪",简介：A former cop returns to challenge a plot to escalate gang violence in the street...详情
309,福禄双霸天,"约翰·贝鲁西,丹·艾克罗伊德,James,凯比·卡洛威,雷·查尔斯,艾瑞莎",简介：这是一部充满音乐表演的无厘头喜剧。杰克（约翰·贝鲁西 John Belushi 饰）和艾伍德（丹·艾克罗伊德 Dan Aykroyd 饰）曾经是音乐狂人，组乐队...详情
310,中南海保镖,"李连杰,钟丽缇,郑则仕,邹兆龙,梁荣忠,黄锦江,元奎,伍卫国,朱威廉,迈克尔·米勒",简介：香港地区一起杀人案的唯一目击证人Michelle（钟丽缇 饰）正被杀手追杀，因为其未婚夫是与大陆高层关系密切的富商，身手不凡的中国特警许正阳（李连杰 饰）便被中...详情
311,F16空中战将,"鲁特格尔·哈尔,罗伯特·帕特里克,Isabel,Glasser,戴·扬,肯·霍华德,Barry,Zetlin,Harri,James,Tam,Logan,Wendy,Benson-Landes,Frank,Moran,Bruce,Anderson,Michael,W.,Mitchell,David,Kadas,John,Nadler,Richard,Langan",简介：1990年的9月24日，两位驾着F16战机的美国空军在伊拉克上空禁区做着例行飞行检查。出乎意料的，在北大西洋公约空域中出现了一架伊拉克喷射客机，李班宁机长（罗伯...详情
312,怪房客,",罗曼·波兰斯基,伊莎贝尔·阿佳妮,茂文·道格拉斯,谢利·温特斯",简介：内向的波兰裔青年塔尔科夫斯基（罗曼·波兰斯基 Roman Polanski 饰）独自来到巴黎，希望在此租住一间公寓这间房之前的房客西蒙·肖（Romain Bou...详情
313,女王神剑,"阿诺·施瓦辛格,布里吉特·尼尔森,桑达·伯格曼,保罗·L·史密斯,厄尼·雷耶斯,罗纳德·莱西,帕特·罗奇,珍妮特·阿格伦,拉腊·兰贝蒂,汉斯·迈尔,弗兰切丝卡·布露玛拉·科鲁奇,史文-欧尔·托尔森,Terry,Richards,Donna,Osterbuhr,Stefano,Maria,Mioni,Tutte,Lemkow,Tad,Horino,Erik,Holmey",简介：女主角索妮娅生于一个小康之家，过着平静的生活；有一天，她的父母被一名恶毒的皇族杀害。索妮娅伤心欲绝之际，誓要为父母报仇。她原来拥有一种神秘力量，可是她不可爱上男...详情
314,夺宝奇兵,"哈里森·福特,凯伦·阿兰,保罗·弗里曼,约翰·瑞斯-戴维斯",简介：二战期间，希特勒在世界各地召集考古学家寻找“失落的约柜”——圣经中引导希伯来人与上帝交流的圣物，希特勒欲借其来护佑纳粹的战争。为了使希特勒的计划破灭，印第安纳琼...详情
315,狭路相逢,"帕特里克·斯威兹,兰迪·特拉维斯,米特·洛夫",简介：杰克在妻女被挟为人质的情况下，不得不答应歹徒的条件，将一批军火从佐治亚州运到新泽西州。出发前，军火商向杰克交代了三条：一不准看货、二不能问路、三不能停车。杰克因...详情
316,龙虎悍将,"威廉·彼德森,迈克尔·维克特,戴安·琳恩,凯文·盖奇,迈克尔·伯恩,李·厄米",简介：杰克是个潦倒的作家，撞见女友跟别人在床上，心灰意冷，决定离开这地方。一日，杰克在酒吧滋事，法兰克出面救援，并拿走了黑道的钱，惹上了黑道老大蓝恩……...详情
317,黑客,"约翰尼·李·米勒,安吉丽娜·朱莉,杰西·布拉德福特,马修·里沃德,Laurence,Mason,Renoly,Santiago,费舍·史蒂芬斯",简介：达德（约翰·李·米勒 Jonny Lee Miller 饰）是一名出色的天才黑客，曾经，股市因为11岁的他的小小恶作剧而差点崩盘，达德因此被剥夺了使用网络的权利...详情
318,少林小子,"李连杰,黄秋燕,潘清福,于承惠,于海,胡坚强",简介：在风景如画的桂林，两户人家隔河相望，一家是武当嫡传的鲍笙凤（于承惠 饰），鲍家一连八个，皆为女儿，致武当剑法有失传之虞，鲍笙凤整日愁眉不展，更对对岸的少林一家怒...详情
319,方世玉,"李连杰,萧芳芳,陈松勇,李嘉欣,胡慧中,赵文卓,朱江,郑少秋,郭涛,高西安,刘金山,俞立文,刘红梅,杨青,潘粤明",简介：方世玉（李连杰 饰）原是城中纨绔子弟，好打抱不平。一日，他闻说外省富豪雷老虎在次设下擂台，比武招亲，又听讲雷小姐貌美如花，遂前往比武招亲。当方世玉过赢准备打赢未...详情
320,巡弋悍将,"韦斯利·斯奈普斯,布鲁斯·佩恩,汤姆·塞兹摩尔,Alex,Datcher,布鲁斯·格林伍德,罗伯特·胡克斯,伊丽莎白·赫利,迈克尔·霍斯,马克·麦考利,Ernie,Lively,Duchess,Tomasello,William,Edward,Roberts,James,Short,Joel,Fogel,Jane,McPherson,Lou,Bedford,Zachary,McLemore,汤姆·诺维茨基,丹尼斯莱茨,布雷特·赖斯,迈克·阿格雷斯塔,Brock,Burnett,Angelina,Ripos",简介：安保专家卡特（韦斯利•斯奈普斯 Wesley Snipes 饰）在阻止一次超市抢劫案时，因为处理失误导致妻子身亡，自感愧疚的卡特状态低沉。好友试图帮助他重新振作...详情
321,黑雨,"迈克尔·道格拉斯,安迪·加西亚,高仓健,凯特·卡普肖,松田优作,若山富三郎",简介：纽约探员尼克（迈克尔•道格拉斯 Michael Douglas 饰）是个桀骜不驯的离异男子，他最近因渎职嫌疑被风纪部门调查。某日尼克与搭档文森（安迪•加西亚 A...详情
322,英雄本色,"周润发,狄龙,张国荣,朱宝意,李子雄,田丰,吴宇森,曾江,成奎安,徐克,陈志辉",简介：香港某个国际伪钞集团重要分子宋子豪（狄龙 饰）和Mark（周润发 饰）情同手足，某次宋子豪带手下谭成（李子雄 饰）去台北交易时被其出卖受枪伤被捕入狱，为替好兄弟...详情
323,火爆行动,"刘家辉,梁家仁,周秀兰",简介：张、李、王三个难兄难弟，失业兼逄老婆怀孕，苦无良策迫上良山，做贼阿爸打劫恶棍沙尘超，得手后各人分予妻子逃亡，并叮嘱将来孩子出世，必须结拜为兄弟或姊妹，附以信物。...详情
324,超速悍将,"LorenzoLamas,MatthiasHues,CyndiPass,EricMansker,BrooksGardner",简介：强尼是波士顿着名的私家侦探，某次渡假到洛杉矶探视其哥哥，不料匪徒竟公然闯入将其哥哥和大嫂杀死，为了逮捕凶手他做了地毯式的侦探，并得到街头青少年的鼎力帮助，最后发...详情
325,赌煞,"胡慧中,万梓良,方中信,西协美智子",简介：地下赌场教父卓老大被人设计暗杀，其女卓胜男（胡慧中饰）继承社团领袖位置，并发誓为父报仇。而卓老大之死，实则为其仇家之子狄峰（方中信饰）所为。狄峰精于千术，专程由...详情
